Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
92,0.255556,148.360733,-14.603585,172.980576,-264.561432,1449.297607,110.230698,-0.963107,-6.014924,-2.599005,-252.192474,1349.050415,100.075684
93,0.258333,148.412369,-14.599691,173.018539,-264.562988,1449.285767,110.230881,-0.902412,-6.015754,-2.492853,-252.184982,1349.037354,100.086182
94,0.261111,148.34375,-14.591813,172.986435,-264.56311,1449.29541,110.219391,-0.957308,-6.025253,-2.521162,-252.189819,1349.041504,100.08725
95,0.263889,148.371521,-14.583557,173.015244,-264.564178,1449.28125,110.226982,-0.98198,-6.016839,-2.605553,-252.189545,1349.041016,100.080513
96,0.266667,148.319244,-14.559673,172.997971,-264.560577,1449.28186,110.216675,-0.911977,-6.042557,-2.461184,-252.17244,1349.029663,100.102859
97,0.269444,148.32869,-14.565577,173.031982,-264.559662,1449.280762,110.231277,-0.978565,-6.066328,-2.493747,-252.174255,1349.03125,100.093094
98,0.272222,148.327484,-14.584862,173.020569,-264.551849,1449.272217,110.222748,-0.935979,-6.080362,-2.445677,-252.166626,1349.02124,100.087914
99,0.275,148.31131,-14.564486,172.993668,-264.552429,1449.278687,110.213646,-0.93431,-6.077832,-2.435904,-252.17572,1349.028687,100.097771
100,0.277778,148.354797,-14.547982,172.992081,-264.560913,1449.272583,110.225266,-0.968622,-6.068678,-2.453232,-252.17215,1349.02478,100.080208
101,0.280556,148.333359,-14.619607,172.938995,-264.54071,1449.282349,110.209846,-0.947191,-6.091178,-2.464261,-252.170319,1349.030151,100.086739
102,0.283333,148.342438,-14.545149,172.951202,-264.558533,1449.284058,110.220062,-0.93393,-6.073625,-2.464337,-252.175415,1349.032715,100.08062
103,0.286111,148.352646,-14.559783,172.950134,-264.558868,1449.286987,110.205696,-0.942249,-6.087318,-2.476293,-252.179855,1349.038574,100.059929
104,0.288889,148.372177,-14.538693,172.999481,-264.563782,1449.286011,110.222321,-0.962744,-6.114729,-2.473874,-252.179504,1349.050293,100.067116
105,0.291667,148.341736,-14.524439,172.949203,-264.570709,1449.297363,110.226479,-0.931094,-6.093468,-2.415478,-252.182907,1349.051636,100.082634
106,0.294444,148.331573,-14.527323,172.947815,-264.569336,1449.302124,110.218613,-0.951313,-6.113687,-2.467368,-252.181503,1349.057861,100.063454
107,0.297222,148.338821,-14.520545,172.951263,-264.570862,1449.304199,110.232468,-0.990695,-6.09616,-2.484044,-252.190567,1349.067139,100.068428
108,0.3,148.301865,-14.489022,172.916458,-264.570862,1449.306885,110.229622,-0.929892,-6.10793,-2.434329,-252.194519,1349.07605,100.076241
109,0.302778,148.293411,-14.500167,172.931046,-264.56189,1449.320068,110.236702,-0.913184,-6.112244,-2.434876,-252.187912,1349.069214,100.075966
110,0.305556,148.298492,-14.443779,172.926575,-264.584747,1449.317871,110.233475,-0.920148,-6.103684,-2.412643,-252.190826,1349.081177,100.081482
111,0.308333,148.310013,-14.509876,172.932098,-264.579681,1449.324463,110.23037,-0.921864,-6.104795,-2.510218,-252.201355,1349.08606,100.074295
112,0.311111,148.322556,-14.494859,172.898315,-264.585114,1449.332031,110.229187,-0.613935,-5.99253,-2.322044,-252.226715,1349.142822,100.114304
113,0.313889,148.248764,-14.498842,172.875977,-264.585114,1449.338013,110.239807,-0.875699,-6.081077,-2.464761,-252.201355,1349.090942,100.078743
114,0.316667,148.305161,-14.483343,172.895599,-264.588226,1449.328125,110.230026,-0.573493,-5.965431,-2.430018,-252.229935,1349.142578,100.11158
115,0.319444,148.354874,-14.505022,172.909882,-264.593262,1449.325439,110.235069,-0.54605,-5.958236,-2.372867,-252.235596,1349.142944,100.103363
116,0.322222,148.298386,-14.517545,172.876968,-264.592529,1449.334106,110.234718,-0.577726,-5.921223,-2.492851,-252.232758,1349.137085,100.099365
117,0.325,148.32811,-14.521495,172.868683,-264.600769,1449.323975,110.240929,-0.546331,-5.914119,-2.475636,-252.235321,1349.129761,100.102417
118,0.327778,148.324753,-14.528926,172.897141,-264.606842,1449.314453,110.226288,-0.856797,-6.011547,-2.582832,-252.221619,1349.067871,100.065308
119,0.330556,148.351913,-14.515175,172.917297,-264.612885,1449.302124,110.250343,-0.826718,-6.02512,-2.563685,-252.222809,1349.065186,100.071022
120,0.333333,148.307526,-14.534897,172.926315,-264.612183,1449.298096,110.239952,-0.877628,-6.030084,-2.617414,-252.222031,1349.070313,100.090744
121,0.336111,148.332809,-14.534561,172.9487,-264.603607,1449.293091,110.248726,-0.845247,-6.027652,-2.591197,-252.223724,1349.05603,100.070297
122,0.338889,148.336609,-14.524382,172.967453,-264.607117,1449.287354,110.243271,-0.882136,-6.003006,-2.571117,-252.22406,1349.052368,100.058189
123,0.341667,148.311768,-14.592986,172.944214,-264.598846,1449.282471,110.244659,-0.875212,-6.023608,-2.581596,-252.217377,1349.041992,100.080406
124,0.344444,148.332001,-14.563232,172.972336,-264.600525,1449.276855,110.238297,-0.925625,-6.041706,-2.621428,-252.215988,1349.040161,100.072212
125,0.347222,148.338791,-14.570168,172.967361,-264.592926,1449.264648,110.236191,-0.920923,-6.036839,-2.551958,-252.215302,1349.028076,100.05761
126,0.35,148.331818,-14.62585,172.981903,-264.590271,1449.267456,110.230949,-0.882528,-6.003126,-2.544487,-252.21843,1349.022217,100.055923
127,0.352778,148.365189,-14.59441,173.001678,-264.5914,1449.259033,110.239655,-0.887859,-6.028192,-2.508212,-252.209061,1349.025757,100.068153
128,0.355556,148.306641,-14.559199,172.978577,-264.590149,1449.266846,110.229187,-0.918711,-6.056494,-2.550965,-252.202576,1349.022949,100.069969
129,0.358333,148.355148,-14.581431,172.980423,-264.585571,1449.264404,110.229256,-0.92074,-6.063618,-2.472683,-252.206329,1349.036865,100.067528
130,0.361111,148.367294,-14.58608,172.972992,-264.579193,1449.260376,110.228111,-0.941327,-6.059898,-2.495291,-252.199921,1349.029297,100.055275
131,0.363889,148.336227,-14.51435,172.962601,-264.587402,1449.266479,110.238777,-0.922332,-6.071415,-2.512529,-252.203522,1349.025635,100.055244
132,0.366667,148.341415,-14.504245,172.958557,-264.585358,1449.263428,110.232468,-0.915131,-6.079395,-2.470701,-252.205307,1349.024292,100.058517
133,0.369444,148.310318,-14.528278,172.914215,-264.574677,1449.267334,110.234772,-0.92752,-6.060561,-2.472697,-252.19899,1349.029541,100.061409
134,0.372222,148.279648,-14.468825,172.924347,-264.57959,1449.270264,110.227287,-0.957483,-6.10377,-2.427909,-252.203018,1349.030884,100.061943
135,0.375,148.283447,-14.443287,172.941071,-264.580444,1449.264038,110.23291,-0.960306,-6.104595,-2.422276,-252.198303,1349.027344,100.064285
136,0.377778,148.287872,-14.444701,172.913132,-264.578156,1449.269043,110.227196,-1.007172,-6.114765,-2.475794,-252.20195,1349.029541,100.060173
137,0.380556,148.281342,-14.429045,172.856674,-264.587677,1449.275146,110.24469,-0.991965,-6.115869,-2.407296,-252.204514,1349.022949,100.047813
138,0.383333,148.238541,-14.44876,172.842438,-264.572296,1449.276001,110.231903,-1.061341,-6.120948,-2.400974,-252.200867,1349.025146,100.055206
139,0.386111,148.264008,-14.440466,172.881897,-264.587158,1449.265625,110.232719,-1.019961,-6.114048,-2.440924,-252.208557,1349.012085,100.049904
140,0.388889,148.243057,-14.448054,172.839325,-264.590332,1449.272217,110.22506,-1.080294,-6.105392,-2.499745,-252.212219,1349.009888,100.047234
141,0.391667,148.232071,-14.441628,172.86467,-264.594391,1449.271606,110.234077,-1.119081,-6.126978,-2.431387,-252.216064,1349.011353,100.041817
142,0.394444,148.19368,-14.473497,172.840988,-264.590515,1449.271362,110.223442,-1.113454,-6.082947,-2.441664,-252.228287,1349.015503,100.032417
143,0.397222,148.166306,-14.440183,172.852585,-264.596802,1449.268677,110.228767,-1.148966,-6.08436,-2.501586,-252.228378,1349.016235,100.035866
144,0.4,148.170212,-14.464128,172.85968,-264.606812,1449.272705,110.234329,-1.097447,-6.104301,-2.464082,-252.231293,1349.007935,100.056747
145,0.402778,148.151505,-14.462237,172.855316,-264.601257,1449.273193,110.233887,-1.086177,-6.061028,-2.507174,-252.241104,1349.009644,100.048363
146,0.405556,148.167282,-14.46041,172.904266,-264.612579,1449.269897,110.231934,-1.102792,-6.077569,-2.453959,-252.241196,1349.02417,100.051498
147,0.408333,148.191116,-14.437178,172.933838,-264.618011,1449.269043,110.237404,-1.106516,-6.063068,-2.526214,-252.246857,1349.02417,100.048347
148,0.411111,148.199341,-14.476531,172.914612,-264.618408,1449.277222,110.241402,-1.07555,-6.032628,-2.569085,-252.252167,1349.027222,100.058372
149,0.413889,148.201996,-14.544721,172.902512,-264.603485,1449.273682,110.244911,-1.0295,-6.015135,-2.568302,-252.240921,1349.029785,100.06649
150,0.416667,148.271469,-14.539007,172.946579,-264.61731,1449.275513,110.243217,-1.02002,-6.024075,-2.602517,-252.245163,1349.022949,100.062904
151,0.419444,148.292206,-14.57431,172.939926,-264.604279,1449.272339,110.238235,-0.934218,-5.996879,-2.604269,-252.250168,1349.02771,100.080948
152,0.422222,148.312866,-14.577926,172.977982,-264.607147,1449.276245,110.245132,-0.919057,-6.006989,-2.622031,-252.247604,1349.031494,100.07473
153,0.425,148.350647,-14.580894,172.975388,-264.601715,1449.27417,110.243362,-0.874915,-6.01064,-2.574136,-252.243011,1349.025635,100.077347
154,0.427778,148.390427,-14.628515,173.01683,-264.600128,1449.269897,110.24379,-0.892439,-6.001822,-2.614097,-252.239822,1349.037964,100.065086
155,0.430556,148.376465,-14.655022,173.003662,-264.594879,1449.276978,110.235275,-0.894711,-6.034404,-2.632814,-252.247299,1349.043823,100.06707
156,0.433333,148.395096,-14.649998,173.011459,-264.590332,1449.270142,110.233727,-0.864452,-6.028363,-2.631462,-252.239044,1349.039795,100.075417
157,0.436111,148.358948,-14.63054,173.016953,-264.584717,1449.273926,110.240219,-0.839046,-6.008592,-2.660804,-252.240829,1349.037842,100.06543
158,0.438889,148.389038,-14.678041,173.064819,-264.57962,1449.268555,110.230965,-0.822359,-5.997092,-2.593657,-252.230789,1349.036865,100.073517
159,0.441667,148.362564,-14.625319,173.05101,-264.580078,1449.273804,110.233322,-0.891739,-6.004909,-2.66468,-252.231781,1349.042236,100.075714
160,0.444444,148.372452,-14.614624,173.06517,-264.580292,1449.261597,110.233139,-0.855344,-5.984303,-2.570371,-252.221283,1349.03418,100.063255
161,0.447222,148.377289,-14.630218,173.054245,-264.586609,1449.27063,110.23246,-0.85687,-6.01037,-2.568125,-252.22525,1349.034546,100.072395
162,0.45,148.376801,-14.586089,173.084061,-264.576935,1449.266968,110.23069,-0.964185,-6.022734,-2.675243,-252.226685,1349.039917,100.067978
163,0.452778,148.316269,-14.600086,173.019821,-264.588287,1449.271851,110.227554,-0.946693,-6.035887,-2.581769,-252.222443,1349.034424,100.052528
164,0.455556,148.344345,-14.56856,172.999817,-264.583435,1449.269043,110.218941,-0.988502,-6.000558,-2.573796,-252.220428,1349.032104,100.059265
165,0.458333,148.27533,-14.557457,172.93988,-264.579956,1449.276611,110.219879,-1.04808,-6.018984,-2.641952,-252.218719,1349.028687,100.053825
166,0.461111,148.261185,-14.564611,172.883499,-264.583191,1449.274658,110.215195,-1.065848,-6.059341,-2.568262,-252.214523,1349.032349,100.062714
167,0.463889,148.280884,-14.538995,172.943436,-264.583588,1449.263672,110.211052,-1.069771,-6.055245,-2.566737,-252.214493,1349.025269,100.053642
168,0.466667,148.205521,-14.515324,172.866684,-264.56662,1449.2771,110.213394,-1.083154,-6.057616,-2.528808,-252.213684,1349.019531,100.056915
169,0.469444,148.231033,-14.495106,172.908768,-264.568909,1449.272217,110.21907,-1.117893,-6.077445,-2.526909,-252.213989,1349.010376,100.050484
170,0.472222,148.177536,-14.479146,172.860367,-264.576782,1449.276367,110.208252,-1.135277,-6.081464,-2.499339,-252.203644,1349.012817,100.05262
