Frame,Time (Seconds),X10_B1,Y,Z,X,Y,Z,X10_B2,Y10_B2,Z10_B2
109,0.302778,-264.617004,1449.269287,110.270439,-0.763287,-6.147915,-2.532295,-252.291794,1349.003296,100.071022
110,0.305556,-264.594849,1449.263062,110.272758,-0.788127,-6.136409,-2.626547,-252.289139,1349.000366,100.072945
111,0.308333,-264.610718,1449.24646,110.269615,-0.781477,-6.095738,-2.611679,-252.291199,1348.996582,100.064491
112,0.311111,-264.610443,1449.245361,110.269592,-0.754509,-6.110456,-2.561408,-252.29541,1348.988037,100.087975
113,0.313889,-264.603516,1449.240967,110.26107,-0.807283,-6.117449,-2.636257,-252.287979,1348.986328,100.089165
114,0.316667,-264.59671,1449.238403,110.270592,-0.797608,-6.099124,-2.596207,-252.288727,1348.985352,100.099426
115,0.319444,-264.593048,1449.237549,110.265434,-0.838492,-6.111292,-2.640062,-252.278625,1348.981079,100.070679
116,0.322222,-264.596222,1449.238525,110.266953,-0.850555,-6.097299,-2.688703,-252.281433,1348.981079,100.090584
117,0.325,-264.597229,1449.249512,110.266258,-0.846712,-6.088138,-2.708608,-252.284851,1348.977295,100.087494
118,0.327778,-264.604095,1449.251709,110.271637,-0.897483,-6.065755,-2.743518,-252.290695,1348.992065,100.084419
119,0.330556,-264.596649,1449.255127,110.269997,-0.887849,-6.079566,-2.6874,-252.293823,1348.988647,100.077965
120,0.333333,-264.600159,1449.248291,110.261818,-0.905536,-6.05922,-2.711151,-252.290192,1348.984375,100.083344
121,0.336111,-264.591858,1449.262573,110.261963,-0.911709,-6.079988,-2.672971,-252.28566,1348.988403,100.077599
122,0.338889,-264.592102,1449.272827,110.266586,-0.926739,-6.064479,-2.647909,-252.286972,1348.992554,100.076691
123,0.341667,-264.601532,1449.279541,110.266571,-0.940759,-6.052064,-2.687115,-252.287094,1349.009277,100.084724
124,0.344444,-264.599854,1449.293457,110.269157,-0.966973,-6.043296,-2.704114,-252.295319,1349.016846,100.072838
125,0.347222,-264.615784,1449.306396,110.274933,-0.983895,-6.028511,-2.725918,-252.300201,1349.028442,100.081879
126,0.35,-264.603821,1449.305542,110.265335,-1.008387,-6.052408,-2.745321,-252.286377,1349.035645,100.076042
127,0.352778,-264.60199,1449.305054,110.265236,-1.005862,-6.023785,-2.719999,-252.300507,1349.03833,100.078644
128,0.355556,-264.610413,1449.309082,110.265762,-0.986337,-6.017647,-2.654431,-252.303207,1349.031006,100.082741
129,0.358333,-264.610229,1449.311401,110.259407,-1.094111,-6.034357,-2.796226,-252.305603,1349.044189,100.084541
130,0.361111,-264.623657,1449.308716,110.266815,-1.036833,-6.045763,-2.719881,-252.302734,1349.04187,100.084641
131,0.363889,-264.625549,1449.30603,110.252251,-1.151117,-5.897324,-3.631002,-252.392166,1349.154907,100.078644
132,0.366667,-264.619781,1449.309082,110.256065,-1.028205,-6.078918,-2.778132,-252.308548,1349.033447,100.057297
133,0.369444,-264.62027,1449.303223,110.279755,-1.179875,-5.922316,-3.653221,-252.404388,1349.154785,100.062073
134,0.372222,-264.62735,1449.29187,110.265411,-1.024974,-6.08521,-2.692751,-252.315308,1349.040405,100.071106
135,0.375,-264.626923,1449.288818,110.249321,-1.154626,-5.913695,-3.671343,-252.40892,1349.144287,100.063354
136,0.377778,-264.637756,1449.282471,110.256241,-1.106364,-5.925158,-3.65924,-252.407104,1349.131958,100.071739
137,0.380556,-264.626709,1449.27771,110.260384,-1.112131,-5.933407,-3.636589,-252.407349,1349.134033,100.083603
138,0.383333,-264.620514,1449.284302,110.257103,-1.097263,-5.916287,-3.645082,-252.404068,1349.124634,100.070778
139,0.386111,-264.61441,1449.264404,110.259476,-1.148742,-5.934256,-3.784675,-252.400314,1349.123657,100.076256
140,0.388889,-264.626862,1449.262451,110.260674,-1.10115,-5.938354,-3.720077,-252.410202,1349.118408,100.055794
141,0.391667,-264.623169,1449.261597,110.242546,-1.064587,-5.911747,-3.660521,-252.406326,1349.11438,100.070023
142,0.394444,-264.619781,1449.255005,110.255318,-0.951685,-6.07513,-2.775362,-252.308731,1348.987427,100.067757
143,0.397222,-264.631348,1449.249512,110.256569,-1.079365,-5.907939,-3.708848,-252.411209,1349.104858,100.077042
144,0.4,-264.625549,1449.234497,110.25679,-1.114837,-5.903981,-3.771763,-252.409515,1349.095703,100.05677
145,0.402778,-264.623322,1449.232788,110.250267,-1.081083,-5.912152,-3.731309,-252.408203,1349.099976,100.08094
146,0.405556,-264.617554,1449.229126,110.25547,-1.064546,-5.897107,-3.759243,-252.402985,1349.091064,100.091583
147,0.408333,-264.624634,1449.236206,110.258209,-1.126142,-5.875082,-3.775641,-252.40535,1349.093384,100.081886
148,0.411111,-264.38031,1450.719971,110.506485,-1.0862,-5.89359,-3.748845,-252.400818,1349.090576,100.089874
149,0.413889,-265.039825,1449.330566,110.429047,-1.101904,-5.884924,-3.686945,-252.397125,1349.090576,100.080742
150,0.416667,-264.626282,1449.257446,110.262939,-1.081051,-5.880128,-3.729025,-252.399536,1349.094604,100.085739
151,0.419444,-264.604767,1450.462036,110.413033,-1.151911,-5.871021,-3.741966,-252.389191,1349.100952,100.079628
152,0.422222,-264.551147,1450.284058,110.445351,-0.995056,-6.041373,-2.756827,-252.296127,1348.993286,100.09185
153,0.425,-264.788788,1450.775635,110.262619,-0.980944,-6.042655,-2.73325,-252.301758,1349.00061,100.088585
154,0.427778,-264.617432,1449.287842,110.276741,-1.031505,-6.046846,-2.720683,-252.299988,1349.020142,100.090034
155,0.430556,-264.647156,1449.250488,110.270271,-1.030337,-6.028505,-2.757089,-252.291,1349.017212,100.08342
156,0.433333,-264.621704,1449.300659,110.271294,-1.027321,-6.04721,-2.721403,-252.302078,1349.022217,100.08474
157,0.436111,-264.629761,1449.302734,110.277847,-0.996564,-6.031865,-2.631813,-252.296143,1349.033447,100.084953
158,0.438889,-264.614349,1449.32019,110.273888,-1.028909,-6.041035,-2.745428,-252.297073,1349.039795,100.092606
159,0.441667,-264.625732,1449.324707,110.26973,-1.057502,-6.040022,-2.752023,-252.284912,1349.052246,100.076653
160,0.444444,-264.613098,1449.326538,110.270683,-1.047353,-6.066123,-2.643818,-252.290482,1349.055298,100.101486
161,0.447222,-264.622101,1449.324951,110.273621,-1.047198,-6.045964,-2.707174,-252.296799,1349.040161,100.079048
162,0.45,-264.629608,1449.313965,110.275154,-1.074624,-6.042546,-2.734412,-252.295761,1349.047119,100.07869
163,0.452778,-264.624542,1449.31543,110.266792,-1.22778,-5.888256,-3.623575,-252.377655,1349.163452,100.088135
164,0.455556,-264.614471,1449.311279,110.275742,-1.071486,-6.021328,-2.688674,-252.294846,1349.047607,100.079887
165,0.458333,-264.625549,1449.308716,110.277039,-1.044092,-6.047676,-2.646219,-252.289825,1349.053101,100.079605
166,0.461111,-264.628845,1449.300171,110.276314,-1.187289,-5.907588,-3.570688,-252.374084,1349.155029,100.077095
167,0.463889,-264.61972,1449.292603,110.267784,-1.055797,-6.079656,-2.69537,-252.295044,1349.036621,100.076996
168,0.466667,-264.619843,1449.289551,110.264488,-1.194553,-5.911096,-3.672365,-252.385025,1349.139648,100.078201
169,0.469444,-264.617889,1449.276245,110.281006,-1.018965,-6.071947,-2.646282,-252.291626,1349.018677,100.070274
170,0.472222,-264.620239,1449.272095,110.265602,-1.028062,-6.064769,-2.699663,-252.29657,1349.0177,100.042213
171,0.475,-264.624054,1449.262085,110.257896,-1.011716,-6.082698,-2.665986,-252.291,1349.011475,100.065559
172,0.477778,-264.624695,1449.258057,110.268517,-1.013107,-6.065874,-2.700382,-252.292938,1349.00415,100.064072
173,0.480556,-264.628204,1449.254761,110.256569,-1.135697,-5.893628,-3.731394,-252.390411,1349.113647,100.067696
174,0.483333,-264.619232,1449.252441,110.256645,-0.98978,-6.083854,-2.71933,-252.291473,1349.000122,100.079514
175,0.486111,-264.624542,1449.255737,110.263824,-0.956853,-6.078973,-2.70357,-252.298203,1349.001221,100.054214
176,0.488889,-264.622925,1449.249512,110.262291,-0.959769,-6.067684,-2.718641,-252.293503,1349.002563,100.082787
177,0.491667,-264.600525,1449.256104,110.263977,-0.946332,-6.094833,-2.676747,-252.286224,1348.99939,100.07618
178,0.494444,-264.61087,1449.253174,110.261955,-0.932672,-6.063998,-2.689511,-252.285156,1348.999634,100.082138
179,0.497222,-264.619934,1449.262451,110.274872,-0.953121,-6.073206,-2.650889,-252.284561,1349.003296,100.071938
180,0.5,-264.608551,1449.261597,110.254089,-0.991803,-6.084557,-2.646568,-252.289139,1349.010864,100.064507
181,0.502778,-264.604828,1449.276245,110.270309,-0.956792,-6.038606,-2.688528,-252.288437,1349.013428,100.066864
182,0.505556,-264.601685,1449.284546,110.264908,-0.962193,-6.06291,-2.648584,-252.274902,1349.022461,100.069893
183,0.508333,-264.611603,1449.284546,110.263702,-0.94789,-6.054848,-2.669024,-252.282974,1349.025879,100.068893
184,0.511111,-264.611023,1449.296509,110.249329,-0.97366,-6.044486,-2.71924,-252.278152,1349.032104,100.06543
185,0.513889,-264.612366,1449.2948,110.257889,-1.020541,-6.05013,-2.732388,-252.276398,1349.039429,100.074509
186,0.516667,-264.610229,1449.297607,110.277649,-0.994263,-6.007662,-2.717416,-252.284286,1349.034302,100.067368
187,0.519444,-264.641449,1449.259766,110.257599,-0.724658,-5.921184,-2.61139,-252.302979,1349.098389,100.108345
188,0.522222,-264.630463,1449.258423,110.267647,-1.068694,-6.006899,-2.765988,-252.283371,1349.041504,100.071213
189,0.525,-264.609192,1449.316528,110.269646,-1.024938,-6.007494,-2.685631,-252.286972,1349.04248,100.070992
190,0.527778,-264.63797,1449.260742,110.263985,-1.054869,-6.018481,-2.753989,-252.281784,1349.037842,100.07251
191,0.530556,-264.639923,1449.268188,110.266266,-1.017639,-6.029902,-2.687299,-252.278961,1349.036987,100.063896
192,0.533333,-264.610748,1449.313965,110.254028,-1.087963,-6.01979,-2.738528,-252.287262,1349.04248,100.054146
193,0.536111,-264.615143,1449.309692,110.256035,-1.081174,-6.037248,-2.709471,-252.292191,1349.037476,100.067047
194,0.538889,-264.621643,1449.304688,110.256203,-1.059047,-6.020433,-2.704764,-252.291595,1349.023315,100.061707
195,0.541667,-264.642242,1449.252686,110.247124,-1.247962,-5.860237,-3.687057,-252.374207,1349.1427,100.058006
196,0.544444,-264.649902,1449.240601,110.260529,-1.263785,-5.864221,-3.693582,-252.384628,1349.141235,100.065727
197,0.547222,-264.647797,1449.241455,110.255608,-1.068579,-6.049203,-2.717579,-252.29541,1349.011719,100.061668
198,0.55,-264.623383,1449.279419,110.249214,-1.057622,-6.026224,-2.70425,-252.301865,1349.017212,100.065277
199,0.552778,-264.625977,1449.274536,110.243263,-1.056081,-6.039443,-2.682221,-252.302948,1349.004395,100.060478
200,0.555556,-264.632965,1449.278809,110.253334,-1.015697,-6.029486,-2.731552,-252.30571,1348.995239,100.041756
201,0.558333,-264.628601,1449.270752,110.260712,-1.027231,-6.052051,-2.693456,-252.30127,1348.996094,100.071114
202,0.561111,-264.621918,1449.253662,110.259468,-1.220075,-5.895007,-3.728407,-252.3992,1349.126099,100.068344
203,0.563889,-264.619324,1449.252319,110.250046,-1.111001,-5.899829,-3.639501,-252.394653,1349.114746,100.078766
204,0.566667,-264.616302,1449.25354,110.268417,-1.150754,-5.892731,-3.679884,-252.390411,1349.114258,100.074455
205,0.569444,-264.627441,1449.271484,110.25985,-0.95623,-6.078101,-2.663598,-252.310837,1348.993652,100.063789
206,0.572222,-264.613831,1449.261353,110.269844,-0.895281,-6.064052,-2.631334,-252.303207,1348.99707,100.071411
207,0.575,-264.613831,1449.267212,110.257439,-0.951254,-6.086178,-2.738175,-252.305679,1349.003296,100.076416
208,0.577778,-264.621643,1449.270508,110.258873,-0.903407,-6.083138,-2.66011,-252.300766,1349.002686,100.081528
209,0.580556,-264.617065,1449.273682,110.25843,-0.879834,-6.089314,-2.682932,-252.300858,1349.007568,100.066879
210,0.583333,-264.612671,1449.281738,110.257553,-1.053999,-5.929452,-3.64589,-252.387375,1349.130005,100.080223
211,0.586111,-264.596832,1449.277344,110.259918,-0.891342,-6.098792,-2.691949,-252.30545,1349.008911,100.083809
212,0.588889,-264.615234,1449.285645,110.259315,-0.884331,-6.096334,-2.659099,-252.304108,1349.015015,100.068954
213,0.591667,-264.606323,1449.292603,110.268974,-0.902885,-6.081839,-2.653793,-252.301605,1349.024536,100.078087
214,0.594444,-264.619934,1449.297241,110.2724,-0.915567,-6.09617,-2.644946,-252.304764,1349.031128,100.081833
215,0.597222,-264.615051,1449.307739,110.275452,-0.915064,-6.098279,-2.661639,-252.305359,1349.033569,100.089546
216,0.6,-264.614349,1449.310547,110.259743,-0.97205,-6.113034,-2.656295,-252.297073,1349.04248,100.094589
217,0.602778,-264.606995,1449.318237,110.279022,-0.965698,-6.091369,-2.635922,-252.296539,1349.033081,100.072701
218,0.605556,-264.607666,1449.312866,110.270149,-1.036934,-6.089659,-2.682863,-252.295547,1349.038208,100.098236
219,0.608333,-264.608917,1449.312622,110.268425,-0.985037,-6.09051,-2.631752,-252.289566,1349.030396,100.110085
220,0.611111,-264.600769,1449.310913,110.278923,-1.021242,-6.097844,-2.717292,-252.291794,1349.034302,100.111176
221,0.613889,-264.606476,1449.306885,110.285866,-1.008468,-6.068976,-2.65039,-252.290543,1349.028076,100.098129
222,0.616667,-264.62439,1449.258911,110.267075,-1.011274,-6.068137,-2.708684,-252.293137,1349.021973,100.091019
223,0.619444,-264.610321,1449.301025,110.284599,-1.036915,-6.07863,-2.693159,-252.290878,1349.028809,100.107224
224,0.622222,-264.611847,1449.296387,110.261147,-0.970345,-6.066845,-2.713376,-252.293228,1349.016724,100.103111
225,0.625,-264.614899,1449.299072,110.273781,-0.952981,-6.055648,-2.73512,-252.289658,1349.01709,100.10788
226,0.627778,-264.612488,1449.280151,110.266975,-1.010287,-6.054456,-2.704614,-252.288162,1349.010254,100.091789
227,0.630556,-264.577362,1449.261597,110.292465,-0.964914,-6.057899,-2.723115,-252.285248,1349.006592,100.097702
228,0.633333,-264.63562,1449.220459,110.256561,-1.104667,-5.875514,-3.689472,-252.383087,1349.120605,100.107704
229,0.636111,-264.630035,1449.213501,110.272163,-0.937959,-6.039283,-2.703737,-252.292542,1348.986328,100.099022
230,0.638889,-264.874146,1450.724609,110.216904,-0.918597,-6.048156,-2.709508,-252.284622,1348.986206,100.103378
231,0.641667,-264.605743,1449.259155,110.273094,-1.046654,-5.903141,-3.650919,-252.37471,1349.10437,100.106606
232,0.644444,-264.605347,1449.253784,110.273087,-0.912071,-6.047945,-2.775593,-252.293503,1348.983765,100.092728
233,0.647222,-264.608704,1449.249268,110.278526,-1.009801,-5.890915,-3.700876,-252.376968,1349.105469,100.110565
