Frame,Time (Seconds),X9_B1,Y,Z,X9_B2,Y,Z
282,0.783333,-264.674347,1449.213135,110.272392,-1.107234,-5.951023,-2.894976
283,0.786111,-264.676117,1449.225342,110.26329,-1.114255,-5.964967,-2.855905
284,0.788889,-264.670837,1449.244263,110.278557,-1.031166,-5.963624,-2.782833
285,0.791667,-264.397583,1450.836182,110.55909,-1.114421,-6.006492,-2.891984
286,0.794444,-264.675781,1449.269287,110.278,-1.062152,-6.004371,-2.878381
287,0.797222,-264.680969,1449.281128,110.278168,-1.021683,-6.052973,-2.785467
288,0.8,-264.669159,1449.295898,110.28746,-0.718392,-5.990057,-2.659279
289,0.802778,-264.685089,1449.300415,110.285347,-0.75603,-5.970684,-2.65018
290,0.805556,-264.686554,1449.314819,110.309593,-1.019469,-6.076375,-2.718489
291,0.808333,-264.674683,1449.327759,110.287468,-0.985001,-6.07159,-2.771608
292,0.811111,-263.944092,1450.308472,109.482697,-0.720927,-5.986732,-2.585045
293,0.813889,-264.942963,1449.386597,110.531052,-0.68169,-5.989383,-2.582006
294,0.816667,-263.98877,1450.376587,109.634872,-0.707697,-5.982042,-2.657988
295,0.819444,-264.692291,1449.37439,110.32653,-0.986803,-6.085245,-2.697901
296,0.822222,-264.780914,1449.311523,110.331375,-0.740156,-5.979877,-2.666197
297,0.825,-264.704742,1449.289307,110.290436,-1.088739,-6.075636,-2.755511
298,0.827778,-264.700867,1449.274048,110.27877,-1.086074,-6.058538,-2.750554
299,0.830556,-264.873199,1450.769531,110.278748,-1.109484,-6.05732,-2.76106
300,0.833333,-264.693298,1449.241211,110.274216,-1.298816,-5.843698,-3.764035
301,0.836111,-262.991699,1449.483643,110.985352,-1.165541,-6.020619,-2.76698
302,0.838889,-264.569336,1450.806641,110.432899,-1.301618,-5.827165,-3.85629
303,0.841667,-262.966766,1449.205444,111.042,-1.380082,-5.8169,-3.892315
304,0.844444,-262.989746,1449.192017,111.034569,-1.432275,-5.77467,-3.949121
305,0.847222,-262.969757,1449.178345,111.028954,-1.409069,-5.787642,-4.042696
306,0.85,-262.97525,1449.169189,111.021042,-1.208276,-5.993047,-2.813782
307,0.852778,-262.968292,1449.175659,111.036545,-1.219754,-5.959206,-2.833004
308,0.855556,-262.968475,1449.168823,111.022003,-1.177498,-5.957598,-2.870279
309,0.858333,-262.964966,1449.170166,111.028778,-1.352174,-5.757606,-4.005515
310,0.861111,-262.961884,1449.171021,111.029755,-1.373159,-5.763465,-4.039118
311,0.863889,-264.521423,1449.359497,110.325935,-1.125152,-5.991347,-2.8175
312,0.866667,-264.536133,1449.385254,110.297798,-1.144996,-5.988476,-2.831162
313,0.869444,-264.64743,1449.203613,110.266586,-1.144989,-5.983758,-2.852476
314,0.872222,-264.610718,1449.254639,110.291321,-1.091627,-5.952772,-2.805096
315,0.875,-264.62204,1449.289429,110.270287,-1.095657,-5.943661,-2.818482
316,0.877778,-264.624908,1449.298706,110.28141,-1.099364,-5.950337,-2.845007
317,0.880556,-264.628265,1449.311035,110.280357,-1.065592,-5.934577,-2.860839
318,0.883333,-264.61438,1449.327148,110.290573,-1.051803,-5.972,-2.839634
319,0.886111,-264.62381,1449.338257,110.283928,-1.063103,-5.995851,-2.835496
320,0.888889,-264.626282,1449.339966,110.283966,-1.045488,-5.974183,-2.844521
321,0.891667,-264.628479,1449.349243,110.297638,-0.991663,-6.010383,-2.802937
322,0.894444,-264.627441,1449.356445,110.293259,-0.99913,-6.025732,-2.716167
323,0.897222,-264.631714,1449.348022,110.287575,-0.953205,-5.996221,-2.799941
324,0.9,-264.628845,1449.352783,110.28875,-0.941148,-6.034696,-2.75728
325,0.902778,-264.860352,1449.393677,110.516174,-0.916517,-6.025948,-2.791996
326,0.905556,-264.635162,1449.328857,110.285088,-0.905456,-6.010656,-2.756836
327,0.908333,-264.629822,1449.323486,110.2882,-0.914903,-6.018527,-2.824872
328,0.911111,-264.631226,1449.306152,110.277756,-0.901402,-6.008701,-2.844655
329,0.913889,-264.636017,1449.289185,110.27816,-0.889269,-6.001203,-2.755461
