Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
69,0.191667,148.246964,-14.548101,172.958191,-264.593323,1449.27063,110.222733,-1.046995,-6.070566,-2.432322,-252.248978,1349.040771,100.054657
70,0.194444,148.290466,-14.477254,172.932907,-264.608032,1449.234009,110.234932,-1.086067,-6.074022,-2.545101,-252.245193,1349.033081,100.061165
71,0.197222,147.804825,-14.959904,173.220078,-264.506683,1449.390259,110.255852,-1.05942,-6.057377,-2.520382,-252.253204,1349.020752,100.058189
72,0.2,147.786179,-14.975258,173.196274,-264.503204,1449.392944,110.253319,-1.120773,-6.03871,-2.586379,-252.248764,1349.006348,100.046883
73,0.202778,147.770203,-14.986073,173.201416,-264.513153,1449.389526,110.250069,-1.141738,-6.051811,-2.49581,-252.246445,1349.008789,100.053299
74,0.205556,147.732361,-15.005285,173.17984,-264.515472,1449.385986,110.250908,-1.138907,-6.061113,-2.451451,-252.249832,1348.993408,100.060555
75,0.208333,147.732361,-15.005285,173.17984,-264.515472,1449.385986,110.250908,-1.138907,-6.061113,-2.451451,-252.249832,1348.993408,100.060555
76,0.211111,147.732361,-15.005285,173.17984,-264.515472,1449.385986,110.250908,-1.138907,-6.061113,-2.451451,-252.249832,1348.993408,100.060555
77,0.213889,147.732361,-15.005285,173.17984,-264.515472,1449.385986,110.250908,-1.138907,-6.061113,-2.451451,-252.249832,1348.993408,100.060555
78,0.216667,-84.820427,-77.756332,118.381279,-262.956024,1449.463257,110.970772,-1.230483,-6.044923,-2.497176,-252.248978,1348.987915,100.072945
79,0.219444,148.148804,-14.423511,172.829025,-264.626099,1449.226196,110.232483,-1.228321,-6.064918,-2.475464,-252.248169,1348.993042,100.06884
80,0.222222,-84.337563,-76.969864,118.642845,-263.032806,1449.655151,111.032936,-1.296724,-6.044514,-2.547662,-252.254105,1349.005981,100.059723
81,0.225,143.94281,-17.391573,176.444962,-264.366913,1450.818359,110.496674,-1.251346,-6.077413,-2.47069,-252.251175,1349.01001,100.042854
82,0.227778,148.155823,-14.368858,172.850159,-264.630524,1449.247681,110.234352,-1.263754,-6.083292,-2.395802,-252.250076,1349.023682,100.061325
83,0.230556,-2.817238,22.84127,3.737588,-263.692139,1450.232422,109.206093,-1.260805,-6.097268,-2.459941,-252.254044,1349.037476,100.060051
84,0.233333,148.038879,-14.418074,172.865784,-264.614288,1449.29187,110.231575,-1.247694,-6.089698,-2.462053,-252.252304,1349.042114,100.047241
85,0.236111,148.086456,-14.445952,172.861511,-264.606567,1449.290894,110.223251,-1.246231,-6.080566,-2.405113,-252.246078,1349.052734,100.045357
86,0.238889,148.106705,-14.447392,172.860016,-264.601593,1449.296021,110.240089,-1.22019,-6.11201,-2.483045,-252.249069,1349.061646,100.047523
87,0.241667,148.126511,-14.425252,172.899582,-264.618835,1449.301514,110.234772,-1.264948,-6.09412,-2.509587,-252.247513,1349.078857,100.054405
88,0.244444,148.102966,-14.462509,172.898361,-264.613678,1449.301758,110.231239,-1.220739,-6.085886,-2.469203,-252.247925,1349.080566,100.038887
89,0.247222,148.191544,-14.369303,172.874283,-264.632111,1449.280518,110.233223,-1.189556,-6.076525,-2.470215,-252.254272,1349.073975,100.034325
