Format Version,1.23,Take Name,Yuri_prueba3_008,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-10-24 03.34.54.705 P. M.,Total Frames in Take,10973,Total Exported Frames,10973,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,0.147222,148.603317,-14.375820,172.945511,-264.686646,1449.195801,110.259132,-0.992481,-5.953044,-2.966908,-252.274002,1348.959595,100.081528
54,0.150000,148.587509,-14.373723,172.905777,-264.681305,1449.206177,110.259193,-0.959915,-5.949844,-2.849856,-252.275940,1348.962769,100.062141
55,0.152778,148.575638,-14.371161,172.899384,-264.677002,1449.215820,110.270340,-0.939377,-5.947668,-2.885005,-252.270645,1348.972046,100.069275
56,0.155556,148.564804,-14.370536,172.892471,-264.678009,1449.231323,110.271454,-0.943961,-5.962959,-2.850358,-252.256958,1348.983887,100.074608
57,0.158333,148.393509,-14.504633,172.884933,-264.640045,1449.288086,110.270691,-0.922601,-5.968734,-2.854308,-252.251862,1348.990356,100.075844
58,0.161111,148.409515,-14.444211,172.935577,-264.646515,1449.291748,110.271370,-0.888836,-5.940270,-2.839335,-252.251648,1349.011597,100.079002
59,0.163889,148.531311,-14.365058,172.785675,-264.657288,1449.263184,110.260773,-0.906822,-5.982056,-2.813672,-252.250671,1349.023804,100.083931
60,0.166667,148.766296,-14.516264,172.903976,-264.639923,1449.340576,110.282814,-0.948516,-5.976937,-2.794968,-252.243881,1349.027954,100.069397
61,0.169444,148.368118,-14.479440,172.782120,-264.617493,1449.326660,110.250221,-0.905893,-5.953777,-2.860602,-252.238297,1349.026611,100.081863
62,0.172222,148.385635,-14.434365,172.827881,-264.621857,1449.334351,110.260811,-0.965084,-5.998358,-2.804045,-252.238159,1349.047241,100.074364
63,0.175000,148.800034,-14.508727,172.871719,-264.638947,1449.360107,110.288193,-0.610979,-5.879813,-2.665303,-252.259644,1349.097168,100.101006
64,0.177778,148.381973,-14.434283,172.781891,-264.633850,1449.348389,110.254257,-0.673118,-5.872639,-2.754026,-252.259048,1349.107056,100.112373
65,0.180556,148.760345,-14.497691,172.859787,-264.641846,1449.373291,110.288574,-0.648594,-5.880044,-2.666547,-252.261169,1349.115723,100.116234
66,0.183333,148.915787,-14.360552,172.782684,-264.661682,1449.317627,110.281601,-0.957496,-6.036704,-2.751570,-252.226257,1349.053223,100.087906
67,0.186111,148.835022,-14.379408,172.793945,-264.676300,1449.312134,110.308990,-0.639212,-5.897128,-2.746564,-252.241791,1349.103882,100.120491
68,0.188889,148.511871,-14.299913,172.713974,-264.647888,1449.296387,110.263550,-0.938044,-6.022217,-2.707413,-252.229156,1349.052490,100.101082
69,0.191667,148.476166,-14.262358,172.730316,-264.650909,1449.291748,110.260941,-0.986088,-6.024823,-2.723942,-252.228058,1349.042725,100.093132
70,0.194444,148.452240,-14.301079,172.705093,-264.641846,1449.288940,110.264870,-0.981124,-6.034866,-2.818609,-252.215775,1349.029541,100.099365
71,0.197222,148.385361,-14.484432,172.742264,-264.602509,1449.305542,110.303032,-0.942773,-6.029986,-2.729310,-252.218658,1349.015625,100.098953
72,0.200000,148.593964,-14.369640,172.793167,-264.683258,1449.261963,110.247116,-0.966975,-6.025315,-2.729223,-252.226501,1349.018188,100.104332
73,0.202778,148.489914,-14.334996,172.792160,-264.644653,1449.264038,110.272934,-0.931499,-6.058954,-2.670632,-252.219589,1349.005005,100.112564
74,0.205556,148.511490,-14.379261,172.789474,-264.640808,1449.255127,110.274483,-0.962056,-6.030426,-2.692914,-252.218216,1348.995117,100.108238
75,0.208333,148.492050,-14.396911,172.800674,-264.642639,1449.239624,110.284882,-0.980496,-6.045161,-2.698565,-252.217285,1348.990479,100.120155
76,0.211111,148.531525,-14.397303,172.878372,-264.646393,1449.226196,110.272636,-0.973169,-6.070686,-2.651883,-252.214996,1348.984741,100.108963
77,0.213889,148.567505,-14.418901,172.879776,-264.645111,1449.213867,110.277634,-1.013895,-6.057277,-2.686650,-252.225723,1348.976929,100.097008
78,0.216667,148.623764,-14.439483,172.914566,-264.642242,1449.206299,110.276848,-1.024389,-6.061299,-2.682541,-252.222565,1348.966675,100.094864
79,0.219444,-4.328037,23.056824,4.839383,-263.813507,1450.715820,109.261406,-0.993230,-6.060167,-2.702601,-252.220276,1348.961548,100.096642
80,0.222222,148.573044,-14.453232,172.920532,-264.652466,1449.199585,110.263977,-0.978430,-6.059781,-2.694561,-252.222336,1348.963867,100.113342
81,0.225000,-4.337862,23.061325,4.831045,-263.809906,1450.710938,109.260246,-0.996645,-6.071550,-2.739654,-252.225067,1348.954224,100.088905
82,0.227778,148.570999,-14.423567,172.959534,-264.655884,1449.196289,110.263481,-0.980570,-6.067980,-2.698299,-252.221375,1348.952637,100.092415
83,0.230556,-4.362934,23.064459,4.881695,-263.816803,1450.724609,109.260277,-0.998819,-6.066721,-2.685820,-252.225662,1348.959961,100.076088
84,0.233333,148.420624,-14.551790,173.054825,-264.631134,1449.249512,110.258430,-0.967902,-6.059343,-2.721417,-252.221680,1348.955811,100.101601
85,0.236111,148.545197,-14.435161,172.917313,-264.649078,1449.203491,110.258995,-0.954954,-6.032712,-2.709779,-252.230972,1348.958252,100.065964
86,0.238889,148.380432,-14.561107,173.013138,-264.621490,1449.261475,110.253563,-0.972647,-6.075458,-2.688603,-252.221222,1348.976929,100.082695
87,0.241667,148.571915,-14.435287,172.868057,-264.646362,1449.220337,110.261833,-0.925530,-6.052074,-2.672437,-252.220932,1348.985229,100.092529
88,0.244444,148.465683,-14.583812,172.837692,-264.609283,1449.265503,110.288322,-0.925962,-6.068290,-2.691873,-252.226837,1348.991455,100.084007
89,0.247222,148.425781,-14.502938,172.922852,-264.632599,1449.294189,110.275253,-0.889122,-6.071706,-2.637481,-252.219376,1349.005859,100.085831
90,0.250000,148.424850,-14.510706,172.882111,-264.630310,1449.304321,110.268829,-0.915600,-6.055022,-2.725595,-252.221817,1349.019287,100.083656
91,0.252778,148.404404,-14.484559,172.885040,-264.625061,1449.315186,110.269821,-0.910555,-6.042702,-2.728434,-252.220505,1349.021729,100.079086
92,0.255556,148.491806,-14.345892,172.742905,-264.652222,1449.286377,110.272530,-0.890486,-6.032373,-2.740020,-252.220688,1349.029541,100.087410
93,0.258333,148.526031,-14.301276,172.735611,-264.649780,1449.284790,110.268250,-0.888301,-6.027153,-2.757318,-252.223846,1349.035767,100.079948
94,0.261111,148.796402,-14.519564,172.863708,-264.631500,1449.347290,110.295776,-0.599083,-5.940235,-2.619480,-252.244949,1349.098999,100.124733
95,0.263889,148.888916,-14.369886,172.769226,-264.655762,1449.313477,110.302940,-0.612450,-5.926519,-2.660782,-252.248047,1349.109497,100.126816
96,0.266667,148.883759,-14.379935,172.731293,-264.653748,1449.319092,110.303490,-0.622431,-5.944928,-2.595181,-252.244766,1349.103760,100.126945
97,0.269444,148.795929,-14.369664,172.681519,-264.682159,1449.330688,110.329956,-0.624133,-5.926824,-2.630896,-252.241974,1349.108643,100.129318
98,0.272222,148.867950,-14.322748,172.710907,-264.660431,1449.327026,110.298462,-0.689506,-5.918469,-2.652748,-252.251923,1349.103882,100.137108
99,0.275000,148.871826,-14.369754,172.716583,-264.663452,1449.317749,110.299881,-0.661630,-5.915543,-2.698159,-252.241287,1349.099854,100.131805
100,0.277778,148.803192,-14.342031,172.699310,-264.681030,1449.321411,110.323135,-0.999559,-5.983584,-2.785553,-252.230316,1349.039795,100.092308
101,0.280556,148.819336,-14.390521,172.712433,-264.699585,1449.307861,110.327118,-0.709211,-5.875174,-2.667496,-252.250458,1349.077026,100.133240
102,0.283333,148.453537,-13.385085,172.933182,-264.905945,1449.332886,110.504234,-1.011093,-5.978749,-2.745036,-252.239105,1349.021729,100.100075
103,0.286111,148.418213,-14.286087,172.683182,-264.678467,1449.272949,110.271034,-1.076866,-5.983029,-2.778978,-252.239609,1349.010132,100.094223
