Frame,Time (Seconds),X,Y,Z,X,Y,Z
176,0.488889,-264.51474,1449.275757,110.172432,-252.147354,1349.09436,100.081329
177,0.491667,-263.67276,1450.616821,109.222107,-252.147995,1349.09436,100.09137
178,0.494444,-264.458557,1449.236328,110.100243,-252.149521,1349.090332,100.085411
179,0.497222,-264.472382,1449.255981,110.086205,-252.146957,1349.079468,100.083145
180,0.5,-264.503906,1449.242065,110.146881,-252.139114,1349.07312,100.073326
181,0.502778,-264.441681,1449.400024,110.183228,-252.146088,1349.070923,100.075714
182,0.505556,-263.655975,1450.717651,109.228073,-252.157837,1349.05127,100.091621
183,0.508333,-264.471313,1449.256836,110.072647,-252.138885,1349.076172,100.08004
184,0.511111,-264.533905,1449.250732,110.105843,-252.150681,1349.080322,100.064011
185,0.513889,-264.437042,1449.400513,110.183723,-252.145706,1349.076416,100.077881
186,0.516667,-262.48999,1447.818848,111.519348,-252.15065,1349.080444,100.063118
187,0.519444,-264.494354,1449.239014,110.163834,-252.151733,1349.087158,100.077988
188,0.522222,-262.962006,1449.651001,110.929832,-252.15152,1349.099243,100.072304
189,0.525,-264.509216,1449.272827,110.161316,-252.151764,1349.095215,100.069443
190,0.527778,-262.954498,1449.665161,110.928802,-252.155777,1349.108521,100.073174
191,0.530556,-264.500397,1449.287476,110.150482,-252.160156,1349.111084,100.082031
192,0.533333,-264.510376,1449.293091,110.159363,-252.161087,1349.116455,100.0765
193,0.536111,-264.467224,1449.301392,110.08567,-252.175659,1349.175781,100.108238
194,0.538889,-264.478119,1449.293701,110.1716,-252.178314,1349.184937,100.117905
195,0.541667,-264.493256,1449.296265,110.171867,-252.188416,1349.196777,100.114151
196,0.544444,-264.506348,1449.314819,110.171394,-252.18457,1349.192139,100.11573
197,0.547222,-264.474182,1449.321045,110.099197,-252.183228,1349.199463,100.132294
198,0.55,-264.473206,1449.297729,110.180016,-252.190918,1349.197021,100.122612
199,0.552778,-264.447632,1449.302246,110.104996,-252.189331,1349.192993,100.127151
200,0.555556,-264.507477,1449.286743,110.196648,-252.186508,1349.189087,100.115471
201,0.558333,-264.453491,1449.291138,110.112816,-252.171509,1349.131226,100.078781
202,0.561111,-264.498779,1449.301758,110.164108,-252.192413,1349.185059,100.114655
203,0.563889,-263.649994,1450.648438,109.250198,-252.189789,1349.189087,100.101746
204,0.566667,-264.480316,1449.294922,110.093704,-252.177917,1349.114624,100.083885
205,0.569444,-264.512085,1449.279541,110.159988,-252.175385,1349.11853,100.076454
206,0.572222,-264.509613,1449.269409,110.164886,-252.173569,1349.113159,100.073883
207,0.575,-264.504028,1449.26416,110.159203,-252.173874,1349.092529,100.061707
208,0.577778,-264.475342,1449.256714,110.092834,-252.175247,1349.093262,100.054413
209,0.580556,-264.505615,1449.249023,110.159767,-252.198517,1349.069946,100.069527
210,0.583333,-264.478912,1449.25708,110.072906,-252.190643,1349.068237,100.066643
211,0.586111,-264.507996,1449.255371,110.149025,-252.174469,1349.087524,100.053574
212,0.588889,-263.664124,1450.718994,109.195503,-252.192734,1349.064209,100.069267
213,0.591667,-264.465759,1449.251709,110.074791,-252.18689,1349.057617,100.06443
214,0.594444,-264.497437,1449.247437,110.1502,-252.187546,1349.061035,100.05999
215,0.597222,-264.397705,1449.394287,110.171165,-252.190079,1349.072876,100.081604
216,0.6,-264.500183,1449.259888,110.140472,-252.189667,1349.071167,100.067535
217,0.602778,-264.407013,1449.407593,110.184067,-252.189484,1349.078735,100.076347
218,0.605556,-264.4935,1449.275146,110.150948,-252.181534,1349.074829,100.081955
219,0.608333,-264.467468,1449.261963,110.163719,-252.182159,1349.081909,100.077881
220,0.611111,-264.489655,1449.288208,110.156342,-252.180664,1349.087158,100.089584
221,0.613889,-264.495331,1449.298828,110.165771,-252.185349,1349.098511,100.100037
222,0.616667,-264.477814,1449.305054,110.1633,-252.187378,1349.098145,100.104477
223,0.619444,-264.4646,1449.279907,110.170944,-252.184845,1349.098022,100.091774
224,0.622222,-264.497925,1449.30957,110.165291,-252.187912,1349.110962,100.104309
225,0.625,-264.490082,1449.305542,110.163269,-252.188324,1349.114258,100.102814
226,0.627778,-264.49649,1449.319458,110.164528,-252.217941,1349.162476,100.146973
227,0.630556,-264.496063,1449.317139,110.159744,-252.214554,1349.15686,100.122528
228,0.633333,-264.484711,1449.282227,110.175194,-252.189072,1349.098511,100.106155
229,0.636111,-264.487213,1449.286987,110.17691,-252.198166,1349.104004,100.120316
230,0.638889,-264.506226,1449.306885,110.17041,-252.196426,1349.093628,100.110725
231,0.641667,-264.515991,1449.300903,110.17437,-252.201584,1349.098145,100.120438
232,0.644444,-264.51059,1449.292236,110.174614,-252.194077,1349.091919,100.121918
233,0.647222,-264.51767,1449.28772,110.176361,-252.226257,1349.148193,100.126335
234,0.65,-264.483673,1449.287964,110.097771,-252.226807,1349.152832,100.128998
235,0.652778,-264.494873,1449.261475,110.179565,-252.202744,1349.085449,100.105728
236,0.655556,-264.516357,1449.282593,110.165993,-252.208801,1349.087402,100.088326
237,0.658333,-264.510406,1449.279785,110.164986,-252.204926,1349.09082,100.104408
238,0.661111,-262.514832,1447.792725,111.517426,-252.205872,1349.081299,100.086479
239,0.663889,-262.519928,1447.798218,111.506126,-252.209396,1349.080322,100.094231
240,0.666667,-264.513336,1449.277954,110.165405,-252.205933,1349.076416,100.083107
241,0.669444,-263.070404,1449.673584,110.902748,-252.202988,1349.086914,100.105957
242,0.672222,-264.483032,1449.287354,110.09404,-252.200867,1349.083252,100.094742
243,0.675,-262.515686,1447.794434,111.478989,-252.202957,1349.087524,100.095329
244,0.677778,-264.517029,1449.27417,110.175865,-252.191605,1349.080078,100.094757
