"","t","x1","y1","z1","x2","y2","z2"
"147",0.405556,-264.3313213,1448.984717,110.4648758,-252.2009248,1349.090649,100.1150482
"148",0.408333,-264.1908077,1448.987329,110.4651642,-252.2014528,1349.093799,100.1135102
"149",0.411111,-264.2908004,1448.989209,110.4530046,-252.2074282,1349.107227,100.1160032
"150",0.413889,-264.3492415,1448.993823,110.4636384,-252.2013306,1349.099268,100.1132932
"151",0.416667,-264.1670244,1448.992407,110.4701096,-252.2039672,1349.111621,100.1207946
"152",0.419444,-264.1670694,1448.999194,110.4709882,-252.1997008,1349.119849,100.1213912
"153",0.422222,-264.3003331,1449.29458,110.1853334,-252.2031006,1349.11543,100.1195924
"154",0.425,-264.2798659,1449.946636,110.1581724,-252.199414,1349.120483,100.1210726
"155",0.427778,-264.1788122,1449.653374,110.3404404,-252.2033172,1349.116528,100.1225934
"156",0.430556,-264.3160078,1449.297925,110.1576248,-252.1959412,1349.128125,100.1157516
"157",0.433333,-264.114767,1449.370264,110.3257692,-252.1976532,1349.133814,100.1213362
"158",0.436111,-264.1854141,1449.001294,110.4613344,-252.1980254,1349.113281,100.1131166
"159",0.438889,-264.3023536,1449.29729,110.162958,-252.1919832,1349.11958,100.1090196
"160",0.441667,-264.2297287,1449.374805,110.3227112,-252.1963868,1349.113794,100.1125182
"161",0.444444,-264.4179901,1449.290479,110.1548736,-252.1960418,1349.110645,100.1084106
"162",0.447222,-264.270987,1449.370215,110.3271256,-252.1964052,1349.112622,100.1131864
"163",0.45,-264.1955169,1449.290356,110.1698168,-252.1955416,1349.110669,100.108191
"164",0.452778,-264.1761735,1449.658765,110.1426864,-252.1842958,1349.099438,100.1046386
"165",0.455556,-264.3274278,1449.277441,110.161725,-252.1851866,1349.10166,100.10291
"166",0.458333,-264.0451745,1449.587817,110.069757,-252.1862516,1349.099878,100.096916
"167",0.461111,-264.0525764,1449.294458,110.2571808,-252.1862324,1349.098755,100.0988282
"168",0.463889,-264.3980838,1449.590454,109.968728,-252.1856048,1349.09729,100.1004456
"169",0.466667,-264.3097857,1449.668823,110.1205154,-252.1813262,1349.097363,100.0989758
"170",0.469444,-264.5449791,1449.291577,110.1640442,-252.181494,1349.097217,100.0995804
"171",0.472222,-264.2406022,1449.680371,110.1191848,-252.1792876,1349.098242,100.1042622
"172",0.475,-264.1993232,1449.580176,110.0663864,-252.1803162,1349.104565,100.1045308
"173",0.477778,-264.2911054,1449.28833,110.2579942,-252.1820466,1349.097217,100.09794
"174",0.480556,-264.3955688,1449.894165,109.766957,-252.164041,1349.161694,100.1197876
"175",0.483333,-264.3129369,1448.957105,110.4682984,-252.1802794,1349.093726,100.0911026
"176",0.486111,-264.0630618,1449.286279,110.2651536,-252.17417,1349.098877,100.0922836
"177",0.488889,-264.3227405,1449.297192,110.1650864,-252.1704376,1349.098902,100.092958
"178",0.491667,-264.1668819,1449.646704,110.1525514,-252.1810942,1349.097241,100.0913408
"179",0.494444,-264.3448998,1449.289673,110.1641816,-252.1802674,1349.094189,100.0933166
"180",0.497222,-264.278142,1449.374389,110.3117768,-252.1784882,1349.101734,100.0946914
"181",0.5,-264.4313948,1449.28772,110.162178,-252.1823302,1349.093335,100.0908462
"182",0.502778,-264.1126757,1449.399512,110.3318406,-252.1813204,1349.108423,100.097748
"183",0.505556,-264.1546445,1449.289136,110.2742338,-252.1845582,1349.102124,100.1000306
"184",0.508333,-264.2107022,1449.290112,110.1504868,-252.1795166,1349.092529,100.0944276
"185",0.511111,-264.1222804,1448.992895,110.4443364,-252.1794832,1349.093286,100.0876636
"186",0.513889,-264.2853105,1449.31145,110.170085,-252.1827942,1349.10271,100.0985122
"187",0.516667,-264.1847668,1449.197827,110.2579362,-252.1813234,1349.092627,100.0888016
"188",0.519444,-264.1824426,1449.363208,110.3344924,-252.1803284,1349.089355,100.086696
"189",0.522222,-264.0841263,1449.434619,110.4777388,-252.1822298,1349.090356,100.0915712
"190",0.525,-264.3071493,1449.349023,110.3229464,-252.1898926,1349.110427,100.0986754
"191",0.527778,-264.1417602,1449.436499,110.480423,-252.1874144,1349.10437,100.0956956
"192",0.530556,-264.2359811,1449.567261,110.1871812,-252.1834778,1349.090112,100.0870576
"193",0.533333,-264.1184247,1449.361914,110.3273056,-252.181839,1349.090942,100.089354
"194",0.536111,-264.3296702,1449.275464,110.1506392,-252.1863586,1349.10166,100.094139
"195",0.538889,-264.1969117,1449.707153,110.0314816,-252.1855804,1349.104126,100.0999482
"196",0.541667,-264.3852327,1449.285303,110.1764098,-252.1868652,1349.108447,100.1042286
"197",0.544444,-263.8450575,1449.956689,110.1481994,-252.1811308,1349.11167,100.0974884
"198",0.547222,-264.1570786,1449.421899,110.3363568,-252.1768586,1349.117578,100.092035
"199",0.55,-264.2629837,1449.371509,110.335228,-252.1831268,1349.112524,100.0954772
"200",0.552778,-264.4393253,1449.322363,110.1626008,-252.1791444,1349.112598,100.097566
"201",0.555556,-264.5211079,1449.319092,110.1821182,-252.17865,1349.109521,100.0922226
"202",0.558333,-264.3883175,1449.420557,110.3252642,-252.1808258,1349.111572,100.0840256
"203",0.561111,-264.5021129,1449.326196,110.1650436,-252.1820616,1349.129444,100.0892364
"204",0.563889,-264.2310148,1449.669776,110.1336896,-252.1861756,1349.12727,100.0893588
"205",0.566667,-264.4501278,1449.313916,110.163063,-252.1788452,1349.097192,100.0767502
"206",0.569444,-264.4178076,1449.412182,110.3211564,-252.1848662,1349.094165,100.0792054
"207",0.572222,-264.4532295,1449.315698,110.1786512,-252.1759034,1349.096484,100.0778838
"208",0.575,-264.4687131,1449.343628,110.185904,-252.1738496,1349.092944,100.0685196
"209",0.577778,-264.4701071,1449.322095,110.1701814,-252.1755982,1349.095776,100.0632752
"210",0.580556,-264.5350528,1449.31001,110.1783096,-252.1829376,1349.084619,100.0729812
"211",0.583333,-264.4837071,1449.629517,110.174852,-252.1787648,1349.088672,100.0722246
"212",0.586111,-264.5760865,1449.310034,110.1671706,-252.1712462,1349.093579,100.0701952
"213",0.588889,-264.3063947,1449.572485,109.9662888,-252.1776672,1349.090674,100.0709838
"214",0.591667,-264.3793945,1449.560181,110.1681136,-252.1752718,1349.066675,100.0613142
"215",0.594444,-264.5700549,1449.268018,110.1644026,-252.1874482,1349.056226,100.0696288
"216",0.597222,-264.4020402,1449.285718,110.168016,-252.1855074,1349.061304,100.0708054
"217",0.6,-264.2940754,1449.914531,110.350383,-252.1823548,1349.067016,100.0622834
"218",0.602778,-264.4957854,1449.295874,110.1734802,-252.1923706,1349.076221,100.0688782
"219",0.605556,-264.274443,1448.981812,110.464032,-252.1917908,1349.081347,100.083606
"220",0.608333,-264.3601871,1449.945684,110.361313,-252.1883666,1349.076831,100.0728104
"221",0.611111,-264.3913391,1449.389185,110.3551132,-252.188266,1349.075171,100.0772338
"222",0.613889,-264.4275528,1449.659453,110.3508076,-252.1908998,1349.079785,100.082248
"223",0.616667,-264.3397378,1449.590015,110.1883774,-252.187576,1349.082422,100.0767394
"224",0.619444,-264.4727964,1449.51416,110.3532396,-252.1854126,1349.081152,100.0791042
"225",0.622222,-264.4460984,1449.590015,110.1956696,-252.1845154,1349.082593,100.08174
"226",0.625,-264.3202318,1449.670166,110.1789046,-252.1843538,1349.082324,100.0794112
"227",0.627778,-264.2929032,1449.332227,110.192244,-252.192035,1349.094776,100.0904372
"228",0.630556,-264.3749823,1449.625244,110.1791686,-252.1929444,1349.091455,100.0812972
"229",0.633333,-264.0098217,1449.083838,110.6358246,-252.1906344,1349.086646,100.073155
"230",0.636111,-264.4115057,1449.303174,110.1742264,-252.1896848,1349.088867,100.073761
"231",0.638889,-264.3786079,1449.618579,110.1642394,-252.1910674,1349.08728,100.0679656
"232",0.641667,-264.4144271,1449.376001,110.3453216,-252.1908144,1349.087524,100.0733888
"233",0.644444,-264.5137752,1449.30791,110.1784134,-252.1885622,1349.090796,100.0746002
"234",0.647222,-264.3819943,1449.642554,110.1844756,-252.1912048,1349.101856,100.0770738
"235",0.65,-264.5243692,1449.329956,110.1472778,-252.1876742,1349.1021,100.07222
"236",0.652778,-264.2288703,1449.330054,110.479298,-252.1829254,1349.084985,100.0708208
"237",0.655556,-264.347606,1449.029175,110.4572432,-252.1867584,1349.081836,100.069614
"238",0.658333,-264.4537438,1449.58562,110.1780686,-252.180231,1349.068262,100.06463
"239",0.661111,-264.3935403,1448.984399,110.432573,-252.180136,1349.060254,100.0649216
"240",0.663889,-264.4406182,1449.294336,110.4379942,-252.1774658,1349.063843,100.0557908
"241",0.666667,-264.5108204,1449.285718,110.1568038,-252.1847778,1349.063452,100.0652144
"242",0.669444,-264.4550457,1449.370239,110.3052612,-252.1785554,1349.064258,100.0639756
"243",0.672222,-264.4462185,1449.288574,110.1645278,-252.1916872,1349.07102,100.0766236
"244",0.675,-264.1894386,1449.289429,110.4462814,-252.1834502,1349.071777,100.0651766
"245",0.677778,-264.202854,1448.964185,110.450099,-252.1935548,1349.068286,100.0671554
"246",0.680556,-264.2648877,1449.642114,110.3311262,-252.1980072,1349.07417,100.0745804
"247",0.683333,-264.2226685,1449.343896,110.326796,-252.1901124,1349.074756,100.0840284
"248",0.686111,-264.3071113,1449.369629,110.3156586,-252.1959136,1349.072949,100.0800752
"249",0.688889,-264.1668397,1449.001904,110.455623,-252.1941496,1349.072559,100.0824402
"250",0.691667,-264.3553375,1449.588232,110.1853838,-252.1959226,1349.075537,100.085469
"251",0.694444,-264.1851566,1449.002881,110.4519258,-252.1995698,1349.075366,100.0844956
"252",0.697222,-264.2920151,1449.594995,110.1717328,-252.2009858,1349.085669,100.1006042
"253",0.7,-264.244989,1449.654643,110.3458176,-252.2017304,1349.087402,100.0966994
"254",0.702778,-264.3098193,1449.594067,110.175157,-252.201825,1349.094092,100.1087934
"255",0.705556,-264.1408369,1449.751885,110.5133698,-252.2016084,1349.087158,100.099623
"256",0.708333,-264.2175212,1449.665679,110.3631254,-252.2017824,1349.090308,100.1008086
"257",0.711111,-264.1805286,1449.73394,110.4955308,-252.2030948,1349.091113,100.1029328
"258",0.713889,-264.3507403,1449.317065,110.1816956,-252.2022734,1349.091773,100.104775
"259",0.716667,-264.1005009,1449.012915,110.471126,-252.1997222,1349.095923,100.1006422
